Subject (Natural Language),Predicate (Natural Language),Object (Natural Language),Subject (URI),Predicate (URI),Object (URI)
Donna,Type,Sculpture,val:donna,crm:P2_has_type,schema:Sculpture
Donna,Title,Donna,val:donna,crm:P102_has_title,"""Donna""^^xsd:string"
Donna,Sculptor,Angelo Di Mario,val:donna,crm:P14_carried_out_by,val:angelo_di_mario
Donna,Holding Institution,Biblioteca casa museo Angelo Di Mario,val:donna,crm:P50_has_current_keeper,val:museo_di_mario
Donna,Subject,woman daily life,val:donna,crm:P129_is_about,val:woman_daily_life_concept
Donna,Description,sculpture representing a woman during her daily works,val:donna,crm:P3_has_note,"""sculpture representing a woman during her daily works""^^xsd:string"
Donna,Period,1966,val:donna,crm:P4_has_time-span,"""1966""^^xsd:gYear"
Donna,Source,https://www.bibliotecasamuseoangelodimario.com/mediaIT.do?key=1608675561&dettagli=media,val:donna,crm:P70_documents,<https://www.bibliotecasamuseoangelodimario.com/mediaIT.do?key=1608675561&dettagli=media>
Donna,Location,"Vallecupola (Rocca Sinibalda, RI)",val:donna,crm:P55_has_current_location,gn:3164858
Donna,Material,Coloured clay,val:donna,crm:P45_consists_of,aat:300015111
Donna,Measures,37×17 cm,val:donna,crm:P43_has_dimension,"""37×17 cm""^^xsd:string"
