Subject (Natural Language),Predicate (Natural Language),Object (Natural Language),Subject (URI),Predicate (URI),Object (URI)
Pres de la Fontaine,Type,Visual Artwork,val:pres_de_la_fontaine,rdf:type,schema:VisualArtwork
Pres de la Fontaine,Subject,woman daily life,val:pres_de_la_fontaine,crm:P129_is_about,val:woman_daily_ life
Pres de la Fontaine,Title,Pres de la Fontaine,val:pres_de_la_fontaine,crm:P102_has_title  ,"""Pres de la Fontaine""^^xsd:string"
Pres de la Fontaine,Artist,Philippe-Jacques van Bree,val:pres_de_la_fontaine,crm:P14_carried_out_by  ,wd:Q2087614
Pres de la Fontaine,Date,1832,val:pres_de_la_fontaine,crm:P4_has_time-span,"""1832""^^xsd:gYear"
Pres de la Fontaine,Shows,Conca,val:pres_de_la_fontaine,crm:P138_shows,val:conca_object
Pres de la Fontaine,Technique,Oil on canvas,val:pres_de_la_fontaine,crm:P45_consists_of,wd:Q174705
Pres de la Fontaine,Source,https://commons.wikimedia.org/wiki/File:Philippe-Jacques_van_Bree_-_Pr%C3%A8s_de_la_fontaine.jpg,val:pres_de_la_fontaine,crm:P70_documents,https://commons.wikimedia.org/wiki/File:Philippe-Jacques_van_Bree_-_Pr%C3%A8s_de_la_fontaine.jpg
Pres de la Fontaine,Rights,Public domain,val:pres_de_la_fontaine,crm:P104_is_subject_to,http://creativecommons.org/publicdomain/zero/1.0/
Pres de la Fontaine,Dimensions,Unknown,val:pres_de_la_fontaine,crm:P43_has_dimension ,"""unknown""^^xsd:string"
Pres de la Fontaine,Holding Institution,Private collection,val:pres_de_la_fontaine,crm:P50_has_current_keeper,"""Private collector""^^xsd:string"
Pres de la Fontaine,Location,Unknown,val:pres_de_la_fontaine,crm:P55_has_current_location  ,"""unknown""^^xsd:string"
Pres de la Fontaine,spatial topic," Belgium, 19th century",val:pres_de_la_fontaine,crm:P53_has_former_location ,gn:2802361
