Prefix,Meaning
val,https://github.com/Vallecupola-Ecosystem/Exhibition/entities/
crm,http://www.cidoc-crm.org/cidoc-crm/
schema,https://schema.org/
dcterms,http://purl.org/dc/terms/
dc,http://purl.org/dc/elements/1.1/
pico,http://data.cochrane.org/ontologies/pico/
a-cd,https://w3id.org/arco/ontology/context-description/
a-dd,https://w3id.org/arco/ontology/denotative-description/
frbr,http://purl.org/vocab/frbr/core#
rdf,http://www.w3.org/1999/02/22-rdf-syntax-ns#
rdfs,http://www.w3.org/2000/01/rdf-schema#
foaf,http://xmlns.com/foaf/0.1/
frbroo,http://iflastandards.info/ns/fr/frbr/frbroo/
fabio,http://purl.org/spar/fabio/
mo,http://purl.org/ontology/mo/
event,http://purl.org/NET/c4dm/event.owl#
nmo,http://nomisma.org/ontology#
skos,http://www.w3.org/2004/02/skos/core#
prov,http://www.w3.org/ns/prov#
owl,http://www.w3.org/2002/07/owl#
dbpedia,http://dbpedia.org/ontology/
,
dcmitype,http://purl.org/dc/dcmitype/
gn,http://sws.geonames.org/
aat,http://vocab.getty.edu/aat/
iso639,http://id.loc.gov/vocabulary/iso639-2/
wd,https://www.wikidata.org/wiki/
